Monte Carlo Spectrum                Func    p0              p1              Chi2-r  p-value         Minimum         Maximum
2nuFIJK-100M                        gaus_n  1.713e-03       1.503e-05       0.97    0.52            1.69e-03        1.74e-03        
TeO2-pb210_cnaf1                    gaus_n  3.611e-03       9.361e-05       1.53    0.03            3.46e-03        3.77e-03        
TeO2-th232only_cnaf3                gaus_n  4.405e-05       6.053e-06       1.14    0.27            3.33e-05        5.41e-05        
TeO2-ra228-pb208_cnaf4              gaus_n  2.400e-04       4.583e-05       1.16    0.24            1.66e-04        3.20e-04        
TeO2-u238-th230_cnaf5               *Gaus   -2.285e-05      5.411e-06       1.19    0.22            0.00e+00        2.90e-06        
TeO2-th230only_cnaf6                gaus_n  2.226e-04       1.068e-05       0.75    0.85            2.05e-04        2.40e-04        
TeO2-ra226-pb210_cnaf7              gaus_n  6.316e-05       2.421e-05       1.03    0.42            2.30e-05        1.03e-04        
TeO2-k40_cnaf125                    gaus_n  3.592e-04       2.477e-05       0.73    0.87            3.20e-04        4.03e-04        
TeO2-co60_cnaf107                   *Gaus   -7.847e-06      3.912e-06       1.07    0.36            0.00e+00        3.28e-06        
TeO2-sb125_cnaf149                  gaus_n  1.319e-04       7.007e-06       0.75    0.85            1.20e-04        1.44e-04        
TeO2-pt190_cnaf8                    gaus_n  4.975e-04       7.687e-06       0.51    0.99            4.85e-04        5.10e-04        
CuNOSV-th232                        *Gaus   -1.335e-04      3.249e-05       0.74    0.87            0.00e+00        1.77e-05        
CuNOSV-u238                         *Gaus   1.575e-04       5.551e-05       6.02    0.00            5.86e-05        2.51e-04        
CuNOSV-k40                          gaus_n  8.496e-03       1.374e-04       0.87    0.68            8.24e-03        8.72e-03        
CuNOSV-co60                         *Gaus   4.656e-04       1.871e-05       1.77    0.00            4.34e-04        4.98e-04        
CuNOSV-mn54                         gaus_n  1.933e-04       1.127e-05       1.52    0.03            1.75e-04        2.13e-04        
PbRCu-th232_cnaf80                  *Gaus   -2.780e-03      5.316e-03       2.58    0.00            0.00e+00        7.75e-03        
PbRCu-u238_cnaf82                   *Gaus   -1.754e-02      5.693e-03       1.13    0.27            0.00e+00        3.94e-03        
600mK-th232                         *Gaus   1.088e-04       2.465e-04       2.58    0.00            0.00e+00        5.00e-04        
600mK-u238                          *Gaus   2.980e-04       2.664e-04       1.38    0.06            0.00e+00        6.82e-04        
600mK-co60                          gaus_n  2.217e-04       2.666e-05       0.91    0.62            1.77e-04        2.65e-04        
PbR-th232_cnaf78                    *Gaus   2.023e-03       9.034e-04       25.88   0.00            4.34e-04        3.58e-03        
PbR-u238_cnaf79                     *Gaus   -2.540e-03      1.175e-03       1.19    0.19            0.00e+00        9.78e-04        
PbR-ag108m_cnaf177                  *Gaus   -3.252e-02      8.339e-03       0.89    0.63            0.00e+00        4.71e-03        
StdPbPlug-th232_cnaf81              *Gaus   -5.463e-02      2.264e-02       0.97    0.51            0.00e+00        1.76e-02        
StdPbPlug-u238_cnaf83               *Gaus   -2.008e-02      6.953e-03       0.82    0.77            0.00e+00        4.80e-03        
ExtPb5cm_210Bi_cnaf135              *Gaus   -3.344e-02      8.218e-03       1.28    0.12            0.00e+00        4.56e-03        
TopPb5cm_210Bi_cnaf136              gaus_n  6.199e-03       8.496e-05       1.26    0.14            6.05e-03        6.35e-03        
TeO2Sx-th232only-.01_cnaf9          gaus_n  1.800e-05       5.618e-06       0.95    0.57            8.15e-06        2.75e-05        
TeO2Sx-ra228-pb208-.01_cnaf10       gaus_n  6.700e-04       3.279e-05       0.84    0.73            6.15e-04        7.29e-04        
TeO2Sx-u238-th230-.01_cnaf11        *Gaus   2.573e-04       1.609e-05       2.11    0.00            2.32e-04        2.87e-04        
TeO2Sx-th230only-.01_cnaf12         gaus_n  4.081e-05       4.084e-06       1.33    0.09            3.36e-05        4.73e-05        
TeO2Sx-ra226-pb210-.01_cnaf13       gaus_n  6.805e-04       1.980e-05       1.25    0.15            6.47e-04        7.13e-04        
TeO2Sx-pb210-.001_cnaf14            gaus_n  1.142e-02       7.891e-05       0.92    0.60            1.13e-02        1.16e-02        
TeO2Sx-pb210-1_cnaf15               gaus_n  1.441e-03       8.323e-05       1.15    0.25            1.29e-03        1.58e-03        
TeO2Sx-pb210-10_cnaf16              gaus_n  5.587e-04       2.466e-04       0.83    0.76            1.34e-04        9.40e-04        
TeO2Sx-th232-10_cnaf17              *Gaus   4.116e-04       6.720e-05       1.89    0.00            2.97e-04        5.28e-04        
TeO2Sx-u238-10_cnaf18               gaus_n  1.304e-04       5.605e-05       1.06    0.37            3.94e-05        2.21e-04        
CuNOSVTowerSx-pb210-.01             gaus_n  1.194e-02       1.803e-04       1.14    0.26            1.16e-02        1.22e-02        
CuNOSVOthersSx-pb210-.01            *Gaus   7.130e-04       1.615e-04       2.98    0.00            4.51e-04        9.92e-04        
CuNOSVTowerSx-pb210-.1              gaus_n  1.231e-03       1.316e-04       1.36    0.08            9.96e-04        1.46e-03        
CuNOSVOthersSx-pb210-.1             *Gaus   -4.915e-04      2.709e-04       1.15    0.25            0.00e+00        2.60e-04        
CuNOSVTowerSx-pb210-1               gaus_n  1.207e-03       1.389e-04       1.27    0.13            9.79e-04        1.46e-03        
CuNOSVOthersSx-pb210-1              *Gaus   -2.444e-06      6.833e-05       0.96    0.54            0.00e+00        1.15e-04        
CuNOSVTowerSx-pb210-10              *Gaus   -3.253e-04      7.958e-05       1.11    0.31            0.00e+00        4.22e-05        
CuNOSVOthersSx-pb210-10             *Gaus   -3.932e-04      9.552e-05       1.40    0.05            0.00e+00        5.00e-05        
CuNOSVTowerSx-th232-10              gaus_n  7.813e-04       7.114e-05       0.81    0.77            6.66e-04        9.04e-04        
CuNOSVOthersSx-th232-10             gaus_n  4.125e-04       1.019e-04       1.57    0.01            2.48e-04        5.92e-04        
CuNOSVTowerSx-u238-10               gaus_n  4.417e-04       5.608e-05       1.01    0.46            3.47e-04        5.37e-04        
CuNOSVOthersSx-u238-10              *Gaus   -1.180e-04      1.416e-04       0.78    0.82            0.00e+00        1.82e-04        
CuNOSVTowerSx-th232-.01             gaus_n  2.761e-05       9.153e-06       0.83    0.76            1.18e-05        4.27e-05        
CuNOSVOthersSx-th232-.01            *Gaus   -1.608e-05      1.419e-05       1.18    0.21            0.00e+00        1.61e-05        
CuNOSVTowerSx-u238-.01              gaus_n  8.868e-05       1.914e-05       1.35    0.08            5.46e-05        1.21e-04        
CuNOSVOthersSx-u238-.01             gaus_n  1.150e-04       2.848e-05       1.60    0.01            6.59e-05        1.65e-04        
4K-th232_cnaf86                     *Gaus   -1.172e-03      1.224e-03       1.11    0.30            0.00e+00        1.53e-03        
4KTot-co60                          gaus_n  4.239e-03       4.044e-04       1.24    0.16            3.51e-03        4.94e-03        
mu-R5m_cnaf127                      gaus_n  3.462e-04       2.875e-05       0.76    0.84            2.98e-04        3.96e-04
